time,latitude,longitude,depth,mag
2020-10-17T10:51:51.150Z,38.2113,-117.9122,12,0.8
2020-10-17T10:50:23.860Z,33.5946667,-116.806,4.55,0.27
2020-10-17T10:49:20.523Z,-54.6267,-132.9391,10,5.4
2020-10-17T10:49:15.745Z,61.5037,-149.9082,36,1.2
2020-10-17T10:48:31.330Z,40.1072,-119.9148,17.2,1.6
2020-10-17T10:46:12.842Z,10.8712,-63.7634,10,4.5
2020-10-17T10:45:43.980Z,35.0628333,-119.2235,18.39,1.24
2020-10-17T10:44:59.680Z,19.41200066,-155.659668,0.50999999,1.82000005
2020-10-17T10:40:14.470Z,19.40183258,-155.6215057,-2.5,2.13
2020-10-17T10:35:55.040Z,32.7496667,-115.8235,4.44,0.94
2020-10-17T10:35:15.070Z,33.7751667,-116.9543333,15.33,0.78
2020-10-17T10:30:16.230Z,33.5996667,-116.8048333,5.75,0.21
2020-10-17T10:13:14.550Z,63.0498,-151.4354,5.3,1.2
2020-10-17T10:09:59.366Z,60.1863,-152.5089,22.2,1
2020-10-17T10:08:04.400Z,32.9233333,-116.2653333,3.6,1.75
2020-10-17T10:00:13.983Z,60.3955,-141.1867,18.5,1.1
2020-10-17T09:59:16.910Z,37.5091667,-118.7785,4.79,1.3
2020-10-17T09:58:33.970Z,35.6128349,-120.3756638,5.33,2.99
2020-10-17T09:54:44.749Z,63.0973,-151.3643,0,1.2
2020-10-17T09:50:02.660Z,39.3619995,-123.2600021,3.36,1.52
2020-10-17T09:45:02.570Z,35.667,-117.509,7.25,1.77
2020-10-17T09:43:40.660Z,19.22999954,-155.3744965,30.32999992,1.98000002
2020-10-17T09:40:09.341Z,60.4378,-141.2043,9.2,1.8
2020-10-17T09:37:46.730Z,35.856,-117.693,6.49,1.24
2020-10-17T09:33:25.865Z,60.4109,-141.2053,4.9,2
2020-10-17T09:33:21.810Z,35.911,-117.7425,7.78,0.45
2020-10-17T09:32:27.850Z,60.4105,-141.1561,11.9,2
2020-10-17T09:31:00.760Z,39.3618317,-123.26017,2.98,1.77
2020-10-17T09:27:58.670Z,38.154,-117.9185,11.3,0.6
2020-10-17T09:26:34.650Z,35.6686667,-117.5153333,0.81,0.75
2020-10-17T09:18:41.410Z,33.1765,-115.643,2.64,1.17
2020-10-17T09:18:30.660Z,38.1687,-117.966,5.9,1.3
2020-10-17T09:17:59.045Z,56.2315,-154.6353,33.2,3.9
2020-10-17T09:07:45.220Z,35.7695,-117.6106667,9.75,0.7
2020-10-17T08:57:49.990Z,37.5365,-118.9813333,3.52,0.59
2020-10-17T08:56:51.690Z,35.7583333,-117.6028333,10.41,1.19
2020-10-17T08:46:58.484Z,63.1629,-151.5961,9.5,0.9
2020-10-17T08:46:13.650Z,19.23600006,-155.3755035,30.97999954,1.73000002
2020-10-17T08:44:22.050Z,36.0256653,-120.6064987,1.63,1.38
2020-10-17T08:31:23.190Z,38.1343,-117.9643,11.8,1.5
2020-10-17T08:28:27.570Z,38.1488,-117.9552,13.6,1.4
2020-10-17T08:22:44.960Z,38.8009987,-122.7741699,3.59,0.55
2020-10-17T08:16:12.888Z,60.0428,-141.5089,18.9,1.6
2020-10-17T08:10:45.030Z,36.1013333,-117.8648333,1.62,0.87
2020-10-17T08:08:01.576Z,-3.6826,134.7803,45.61,4.4
2020-10-17T07:55:08.260Z,19.46349907,-155.610672,-1.960000038,2.29
2020-10-17T07:54:33.820Z,19.40683365,-155.2983398,0.569999993,2.66
2020-10-17T07:52:50.760Z,38.1645,-117.8828,12.2,1.5
2020-10-17T07:47:00.935Z,61.2306,-149.5548,20.6,2
2020-10-17T07:43:19.810Z,38.8013344,-122.8183365,3.23,0.78
2020-10-17T07:31:08.140Z,18.0338,-66.8005,15,2.67
2020-10-17T07:30:41.290Z,40.3300018,-124.8341675,15.37,2.36
2020-10-17T07:12:44.060Z,35.3668333,-85.2135,17.99,2.26
2020-10-17T07:12:28.020Z,19.21633339,-155.4069977,31.18000031,1.84000003
2020-10-17T07:11:47.320Z,44.3035,-115.213,7.58,2.05
2020-10-17T07:07:37.230Z,38.8156662,-122.8125,3.26,0.62
2020-10-17T06:51:30.570Z,44.6691667,-111.8848333,14.62,0.97
